NAME,Date_time,SST,WHT
월포해수욕장,2021-07-14 12,23.666593551635742,0.05000000074505806
월포해수욕장,2021-07-14 15,24.35401153564453,0.15000000596046448
월포해수욕장,2021-07-14 18,24.186649322509766,0.09000000357627869
월포해수욕장,2021-07-15 21,23.624237060546875,0.03999999910593033
월포해수욕장,2021-07-15 00,23.03272247314453,0.029999999329447746
월포해수욕장,2021-07-15 03,22.43229866027832,0.019999999552965164
월포해수욕장,2021-07-15 06,22.170433044433594,0.019999999552965164
월포해수욕장,2021-07-15 09,22.749731063842773,0.019999999552965164
월포해수욕장,2021-07-15 12,24.14287567138672,0.019999999552965164
월포해수욕장,2021-07-15 15,24.956642150878906,0.029999999329447746
월포해수욕장,2021-07-15 18,24.980300903320312,0.05000000074505806
구조라해수욕장,2021-07-13 09,20.91140365600586,0.25999999046325684
