STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
TL15,종현마을,20210903,PM,24.0,25.0,26.0,3.1,3.5,4.0,4,0
TL16,수문마을,20210901,AM,27.0,27.0,27.0,5.6,5.7,5.8,4,0
TL16,수문마을,20210901,PM,26.0,27.0,28.0,4.0,4.7,5.6,4,0
TL16,수문마을,20210902,AM,23.0,23.5,24.0,1.4,1.4,1.5,4,0
TL16,수문마을,20210902,PM,23.0,23.3,24.0,1.5,2.4,3.5,4,8.2
TL16,수문마을,20210903,AM,23.0,24.0,25.0,4.7,4.8,4.9,4,0
TL16,수문마을,20210903,PM,24.0,25.0,26.0,4.7,5.0,5.3,4,0
TL17,신시도마을,20210901,AM,25.0,25.0,25.0,2.7,3.2,3.6,4,7.3
TL17,신시도마을,20210901,PM,24.0,24.7,25.0,3.6,4.1,4.6,4,1.5
TL17,신시도마을,20210902,AM,24.0,24.5,25.0,3.7,4.3,5.0,4,0
TL17,신시도마을,20210902,PM,24.0,24.7,25.0,0.8,2.3,3.7,4,7.6
TL17,신시도마을,20210903,AM,23.0,24.5,26.0,2.6,3.5,4.3,4,0
TL17,신시도마을,20210903,PM,25.0,25.7,26.0,1.9,2.6,3.4,4,0
TL18,대야도마을,20210901,AM,23.0,23.5,24.0,2.3,2.8,3.2,4,41.8
TL18,대야도마을,20210901,PM,23.0,23.7,24.0,2.3,3.5,5.4,4,0
TL18,대야도마을,20210902,AM,22.0,23.0,24.0,6.7,6.8,6.8,4,0
TL18,대야도마을,20210902,PM,23.0,23.7,24.0,6.5,6.6,6.7,4,0
TL18,대야도마을,20210903,AM,22.0,23.5,25.0,2.8,4.2,5.6,4,0
TL18,대야도마을,20210903,PM,25.0,25.3,26.0,1.4,1.9,2.8,4,0
TL19,장자도마을,20210901,AM,24.0,24.5,25.0,3.0,3.2,3.5,4,5.7
TL19,장자도마을,20210901,PM,24.0,24.7,25.0,3.5,4.0,4.6,4,1.5
TL19,장자도마을,20210902,AM,24.0,24.5,25.0,4.5,5.0,5.4,4,0.5
