생산일,코드,항로명,선박명,선박종류,예측일자,시간,운항시간,운항시간점수,선박톤수,선박톤수점수,최소파고,평균파고,최대파고,파고점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수
20210830,SK12,부산-후쿠오카,비틀(후쿠오카),초쾌속선,20210829,AM,3.5,1,164,2,0.6,0.6,0.7,4,6.6,7.3,9.5,2,1.50
20210830,SK12,부산-후쿠오카,비틀(후쿠오카),초쾌속선,20210829,PM,3.5,1,164,2,0.8,0.8,0.9,4,9.3,9.7,10.0,2,1.50
20210830,SK13,부산-오사카,팬스타,카페리,20210829,AM,19.0,1,21688,5,0.6,0.6,0.7,4,6.7,7.3,9.5,2,1.50
20210830,SK13,부산-오사카,팬스타,카페리,20210829,PM,19.0,1,21688,5,0.8,0.8,0.9,4,9.3,9.7,10.0,2,1.50
20210830,SK7,포항-울릉,엘도라도,초쾌속선,20210829,AM,3.2,1,668,3,0.3,0.4,0.5,4,2.1,3.3,4.4,4,3.28
20210830,SK7,포항-울릉,엘도라도,초쾌속선,20210829,PM,3.2,1,668,3,0.3,0.4,0.5,4,3.4,5.9,8.1,3,3.05
20210830,SK7,포항-울릉,썬라이즈,초쾌속선,20210829,AM,3.2,1,388,2,0.3,0.4,0.5,4,2.1,3.3,4.4,4,3.15
20210830,SK7,포항-울릉,썬라이즈,초쾌속선,20210829,PM,3.2,1,388,2,0.3,0.4,0.5,4,3.4,5.9,8.1,3,2.93
20210830,SK23,후포-울릉,씨플라워,초쾌속선,20210829,AM,2.5,2,388,2,0.4,0.6,0.7,4,1.9,2.2,3.0,4,3.35
20210830,SK23,후포-울릉,씨플라워,초쾌속선,20210829,PM,2.5,2,388,2,0.2,0.4,0.5,4,3.0,4.7,6.5,3,3.12
20210830,SK8,강릉-울릉,씨스타11,초쾌속선,20210829,AM,3.0,1,420,2,0.4,0.5,0.5,4,2.2,3.8,5.7,3,2.93
20210830,SK8,강릉-울릉,씨스타11,초쾌속선,20210829,PM,3.0,1,420,2,0.3,0.4,0.4,5,2.5,4.6,11.1,2,1.50
20210830,SK8,강릉-울릉,씨스타5,초쾌속선,20210829,AM,3.0,1,388,2,0.4,0.5,0.5,4,2.2,3.8,5.7,3,2.93
20210830,SK8,강릉-울릉,씨스타5,초쾌속선,20210829,PM,3.0,1,388,2,0.3,0.4,0.4,5,2.5,4.6,11.1,2,1.50
20210830,SK9,묵호-울릉,씨스타1,초쾌속선,20210829,AM,2.7,2,388,2,0.4,0.5,0.5,4,2.1,3.3,5.4,3,3.12
20210830,SK9,묵호-울릉,씨스타1,초쾌속선,20210829,PM,2.7,2,388,2,0.3,0.4,0.4,5,4.1,5.6,10.2,2,1.50
20210830,SK9,묵호-울릉,씨스타3,쾌속카페리,20210829,AM,2.7,2,550,3,0.4,0.5,0.5,4,2.1,3.3,5.4,3,3.25
20210830,SK9,묵호-울릉,씨스타3,쾌속카페리,20210829,PM,2.7,2,550,3,0.3,0.4,0.4,5,4.1,5.6,10.2,2,1.50
