생산일,코드,권역,지역,예측일자,갯벌열림시간,갯벌닫힘시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,강수량,강수점수,특보,특보점수,총점수,예보지수
20210828,TL5,황해남부,만돌마을,20210830,12:10,14:10,2.00,5,23.9,25.0,25.5,5,1.2,3.5,4.9,4,4,2,0.0,5,-,5,4.28,좋음
20210828,TL6,황해남부,하전마을,20210830,12:00,16:00,4.00,5,23.6,24.7,25.5,5,0.7,3.2,4.5,4,4,2,0.0,5,-,5,4.28,좋음
20210828,TL9,황해중부,월하성마을,20210830,12:00,16:00,4.00,5,24.2,26.0,27.1,5,0.9,3.7,5.6,3,4,2,0.0,5,-,5,4.15,좋음
20210828,TL10,황해중부,선감마을,20210830,0:00,0:00,0.00,0,22.6,23.4,23.9,4,1.6,3.3,4.6,4,4,2,0.0,5,-,5,0.00,체험불가
20210828,TL13,황해남부,돌머리마을,20210830,12:00,16:00,4.00,5,25.6,26.7,27.5,5,0.9,2.9,3.9,4,4,2,4.5,3,-,5,3.00,보통
20210828,TL17,황해남부,신시도마을,20210830,11:00,17:00,6.00,5,23.7,24.8,25.5,5,2.3,4.2,6.0,3,4,2,0.0,5,-,5,4.15,좋음
20210828,TL20,남해동부,다대마을,20210830,0:00,0:00,0.00,0,25.5,25.6,25.7,5,6.4,6.7,7.1,3,4,2,0.0,5,-,5,0.00,체험불가
20210828,TL21,남해동부,냉천마을,20210830,0:00,0:00,0.00,0,26.3,26.9,27.3,5,2.4,4.4,5.4,3,4,2,0.0,5,-,5,0.00,체험불가
20210828,TL25,황해중부,병술만마을,20210830,12:30,16:30,4.00,5,23.5,24.9,25.7,5,1.8,3.9,5.5,3,4,2,0.0,5,-,5,4.15,좋음
20210828,TL31,남해서부,백사마을,20210830,09:00,11:00,2.00,5,24.5,27.5,28.6,5,2.0,3.8,5.2,3,4,2,0.0,5,-,5,4.15,좋음
20210828,TL32,남해서부,장양마을,20210830,09:00,09:50,0.83,2,26.2,28.4,29.6,5,2.0,4.0,5.1,3,4,2,0.0,5,-,5,2.27,나쁨
20210828,TL33,남해서부,거차마을,20210830,10:00,18:00,8.00,5,26.3,28.2,29.3,5,3.4,4.7,5.6,3,4,2,1.2,3,-,5,3.00,보통
20210828,TL34,황해남부,죽림마을,20210830,09:00,11:50,2.83,5,25.0,27.5,28.4,5,2.0,4.3,5.1,3,4,2,0.0,5,-,5,4.15,좋음
